,id_hecho,fecha,rol,vehiculo_victima,sexo_victima,edad_victima,gravedad,Victima_fatal,Victima_no_fatal
3042,LC-2019-0179077,2019-03-16,,,FEMENINO,73.0,LEVE,0,1
3043,LC-2019-0230108,2019-03-16,,,MASCULINO,44.0,LEVE,0,1
3044,LC-2019-0163412,2019-03-17,,,FEMENINO,21.0,LEVE,0,1
3045,LC-2019-0163412,2019-03-17,,,MASCULINO,21.0,LEVE,0,1
3046,LC-2019-0163412,2019-03-17,,,FEMENINO,25.0,LEVE,0,1
3047,LC-2019-0163427,2019-03-17,,,MASCULINO,23.0,LEVE,0,1
3048,LC-2019-0163434,2019-03-17,,,MASCULINO,29.0,LEVE,0,1
3049,LC-2019-0163463,2019-03-17,,,MASCULINO,74.0,LEVE,0,1
3050,LC-2019-0163613,2019-03-17,,,MASCULINO,,LEVE,0,1
3051,LC-2019-0163613,2019-03-17,,,MASCULINO,,LEVE,0,1
3052,LC-2019-0163613,2019-03-17,,,MASCULINO,,LEVE,0,1
3053,LC-2019-0163618,2019-03-17,,,MASCULINO,33.0,LEVE,0,1
3054,LC-2019-0163618,2019-03-17,,,MASCULINO,33.0,LEVE,0,1
3055,LC-2019-0163623,2019-03-17,,,FEMENINO,45.0,LEVE,0,1
3056,LC-2019-0163712,2019-03-17,,,MASCULINO,31.0,LEVE,0,1
3057,LC-2019-0163848,2019-03-17,,,MASCULINO,23.0,LEVE,0,1
3058,LC-2019-0163931,2019-03-17,,,,,LEVE,0,1
3059,LC-2019-0163957,2019-03-17,,,FEMENINO,71.0,LEVE,0,1
3060,LC-2019-0163957,2019-03-17,,,FEMENINO,71.0,LEVE,0,1
3061,LC-2019-0164002,2019-03-17,,,FEMENINO,33.0,LEVE,0,1
3062,LC-2019-0164023,2019-03-17,,,MASCULINO,,LEVE,0,1
3063,LC-2019-0164023,2019-03-17,,,MASCULINO,,LEVE,0,1
3064,LC-2019-0164023,2019-03-17,,,MASCULINO,31.0,LEVE,0,1
3065,LC-2019-0164052,2019-03-17,,,MASCULINO,37.0,LEVE,0,1
3066,LC-2019-0164092,2019-03-17,,,FEMENINO,,LEVE,0,1
3067,LC-2019-0164176,2019-03-17,,,FEMENINO,67.0,LEVE,0,1
3068,LC-2019-0164183,2019-03-17,,,MASCULINO,31.0,LEVE,0,1
3069,LC-2019-0164234,2019-03-17,,,FEMENINO,60.0,LEVE,0,1
3070,LC-2019-0164287,2019-03-17,,,MASCULINO,25.0,LEVE,0,1
3071,LC-2019-0164426,2019-03-17,,,MASCULINO,,LEVE,0,1
3072,LC-2019-0164510,2019-03-17,,,MASCULINO,39.0,LEVE,0,1
3073,LC-2019-0164511,2019-03-17,,,MASCULINO,26.0,LEVE,0,1
3074,LC-2019-0164526,2019-03-17,,,FEMENINO,28.0,LEVE,0,1
3075,LC-2019-0164526,2019-03-17,,,MASCULINO,28.0,LEVE,0,1
3076,LC-2019-0164535,2019-03-17,,,MASCULINO,67.0,LEVE,0,1
3077,LC-2019-0165803,2019-03-17,,,FEMENINO,45.0,LEVE,0,1
3078,LC-2019-0173971,2019-03-17,,,FEMENINO,42.0,LEVE,0,1
3079,LC-2019-0163681,2019-03-17,,,varon,25.0,LEVE,0,1
3080,LC-2019-0164516,2019-03-18,,,MASCULINO,24.0,LEVE,0,1
3081,LC-2019-0164532,2019-03-18,,,MASCULINO,15.0,LEVE,0,1
3082,LC-2019-0164628,2019-03-18,,,MASCULINO,28.0,LEVE,0,1
3083,LC-2019-0165248,2019-03-18,,,MASCULINO,37.0,LEVE,0,1
3084,LC-2019-0165445,2019-03-18,,,FEMENINO,50.0,LEVE,0,1
3085,LC-2019-0165465,2019-03-18,,,MASCULINO,46.0,LEVE,0,1
3086,LC-2019-0165465,2019-03-18,,,FEMENINO,46.0,LEVE,0,1
3087,LC-2019-0165644,2019-03-18,,,FEMENINO,79.0,LEVE,0,1
3088,LC-2019-0166055,2019-03-18,,,MASCULINO,50.0,LEVE,0,1
3089,LC-2019-0166055,2019-03-18,,,FEMENINO,50.0,LEVE,0,1
3090,LC-2019-0166055,2019-03-18,,,FEMENINO,49.0,LEVE,0,1
3091,LC-2019-0166094,2019-03-18,,,MASCULINO,63.0,LEVE,0,1
3092,LC-2019-0166179,2019-03-18,,,FEMENINO,39.0,LEVE,0,1
3093,LC-2019-0166208,2019-03-18,,,MASCULINO,25.0,LEVE,0,1
3094,LC-2019-0166317,2019-03-18,,,FEMENINO,,LEVE,0,1
3095,LC-2019-0166415,2019-03-18,,,,28.0,LEVE,0,1
3096,LC-2019-0166436,2019-03-18,,,MASCULINO,20.0,LEVE,0,1
3097,LC-2019-0166468,2019-03-18,,,FEMENINO,20.0,LEVE,0,1
3098,LC-2019-0166767,2019-03-18,,,MASCULINO,19.0,LEVE,0,1
3099,LC-2019-0166767,2019-03-18,,,FEMENINO,19.0,LEVE,0,1
3100,LC-2019-0166829,2019-03-18,,,MASCULINO,27.0,LEVE,0,1
3101,LC-2019-0166829,2019-03-18,,,MASCULINO,27.0,LEVE,0,1
3102,LC-2019-0166829,2019-03-18,,,MASCULINO,53.0,LEVE,0,1
3103,LC-2019-0166996,2019-03-18,,,MASCULINO,44.0,LEVE,0,1
3104,LC-2019-0167110,2019-03-18,,,MASCULINO,43.0,LEVE,0,1
3105,LC-2019-0167206,2019-03-18,,,MASCULINO,,LEVE,0,1
3106,LC-2019-0167212,2019-03-18,,,MASCULINO,41.0,LEVE,0,1
3107,LC-2019-0167212,2019-03-18,,,MASCULINO,41.0,LEVE,0,1
3108,LC-2019-0167273,2019-03-18,,,MASCULINO,21.0,LEVE,0,1
3109,LC-2019-0062109,2019-01-29,,,MASCULINO,21.0,LEVE,0,1
3110,LC-2019-0167402,2019-03-18,,,MASCULINO,59.0,LEVE,0,1
3111,LC-2019-0167407,2019-03-18,,,MASCULINO,29.0,LEVE,0,1
3112,LC-2019-0167603,2019-03-18,,,FEMENINO,,LEVE,0,1
3113,LC-2019-0167603,2019-03-18,,,MASCULINO,,LEVE,0,1
3114,LC-2019-0167603,2019-03-18,,,MASCULINO,,LEVE,0,1
3115,LC-2019-0167639,2019-03-18,,,FEMENINO,52.0,LEVE,0,1
3116,LC-2019-0167689,2019-03-18,,,FEMENINO,33.0,LEVE,0,1
3117,LC-2019-0167689,2019-03-18,,,MASCULINO,33.0,LEVE,0,1
3118,LC-2019-0167698,2019-03-18,,,MASCULINO,,LEVE,0,1
3119,LC-2019-0167701,2019-03-18,,,MASCULINO,,LEVE,0,1
3120,LC-2019-0167734,2019-03-18,,,MASCULINO,63.0,LEVE,0,1
3121,LC-2019-0167734,2019-03-18,,,FEMENINO,63.0,LEVE,0,1
3122,LC-2019-0169637,2019-03-18,,,FEMENINO,47.0,LEVE,0,1
3123,LC-2019-0175202,2019-03-18,,,MASCULINO,56.0,LEVE,0,1
3124,LC-2019-0179402,2019-03-18,,,MASCULINO,43.0,LEVE,0,1
3125,LC-2019-0181260,2019-03-18,,,FEMENINO,64.0,LEVE,0,1
3126,LC-2019-0186965,2019-03-18,,,FEMENINO,33.0,LEVE,0,1
3127,LC-2019-0208786,2019-03-18,,,MASCULINO,,LEVE,0,1
3128,LC-2019-0158006,2019-03-14,,,MASCULINO,35.0,LEVE,0,1
3129,LC-2019-0168116,2019-03-19,,,FEMENINO,,LEVE,0,1
3130,LC-2019-0168232,2019-03-19,,,MASCULINO,,LEVE,0,1
3131,LC-2019-0168232,2019-03-19,,,MASCULINO,,LEVE,0,1
3132,LC-2019-0168541,2019-03-19,,,FEMENINO,28.0,LEVE,0,1
3133,LC-2019-0168611,2019-03-19,,,MASCULINO,,LEVE,0,1
